,Date,Mood,Tags,Weather
96,2024 Sun Feb 18 9:33 PM,At Ease,By myself;Resting;Home,light rain
97,2024 Sun Feb 18 6:39 AM,Determined,Walking;By myself;Waking up;Outside;Pets,broken clouds
98,2024 Sat Feb 17 4:30 PM,Sad,Outside;Pets;Walking;By myself;Home;Resting;Watching shows,clear sky
99,2024 Sat Feb 17 3:30 PM,Helpless,Home;By myself;Resting,clear sky
100,2024 Sat Feb 17 6:31 AM,Nostalgic,Waking up;Pets;Walking;Outside,light intensity drizzle
101,2024 Fri Feb 16 3:35 PM,Joyful,Work;Hanging out;Co-workers,light intensity drizzle
102,2024 Thu Feb 15 6:49 PM,Chill,Resting;By myself;Home,fog
103,2024 Wed Feb 14 3:15 PM,Tranquil,Home;Reading;By myself,overcast clouds
104,2024 Wed Feb 14 7:55 AM,Melancholic,Home;By myself;Between places,mist
105,2024 Wed Feb 14 7:37 AM,Lost,By myself;Home;Waking up,mist
106,2024 Tue Feb 13 3:35 PM,Pensive,By myself;Resting;Home,mist
107,2024 Mon Feb 12 9:35 AM,At Ease,Outside;After swimming;By myself;Walking,light rain
108,2024 Sun Feb 11 10:05 AM,Thoughtful,Outside;By myself;Running,overcast clouds
109,2024 Sun Feb 11 8:50 AM,Motivated,Home;Planning life;By myself,overcast clouds
110,2024 Sun Feb 11 8:49 AM,At Ease,Home;By myself;Planning life,overcast clouds
111,2024 Sat Feb 10 7:48 PM,Worried,By myself;Home;Resting,overcast clouds
112,2024 Sat Feb 10 7:47 PM,Accomplished,Home;Resting;By myself,overcast clouds
113,2024 Sat Feb 10 9:04 AM,Determined,Home;By myself;Waking up,overcast clouds
114,2024 Fri Feb 9 7:52 AM,Pensive,Writing;By myself;Home,broken clouds
115,2024 Thu Feb 8 6:00 PM,Tired,Home;Resting;By myself,broken clouds
116,2024 Wed Feb 7 7:34 PM,Lonely,By myself;Home;Resting,clear sky
117,2024 Tue Feb 6 11:35 AM,Productive,Home;Learning ;Pets;By myself,clear sky
118,2024 Mon Feb 5 7:06 AM,Accomplished,School;Back from run;Strangers,overcast clouds
119,2024 Sun Feb 4 8:01 AM,Annoyed,Walking;By myself;Outside;Checking social media ,scattered clouds
120,2024 Sat Feb 3 1:05 PM,Productive,By myself;Writing;Home,few clouds
121,2024 Fri Feb 2 6:32 AM,At Ease,Outside;Walking;Pets,broken clouds
122,2024 Thu Feb 1 8:18 AM,Empowered,Home;By myself;Listening to music;Running,overcast clouds
123,2024 Wed Jan 31 1:55 PM,Meh,Home;By myself;Writing;Resting,broken clouds
124,2024 Wed Jan 31 6:31 AM,Wistful,Home;Pets;Planning life,broken clouds
125,2024 Tue Jan 30 5:56 AM,Excited,Pets;Outside;Walking,fog
126,2024 Mon Jan 29 4:14 PM,Accomplished,Networking;Co-workers;Work,overcast clouds
127,2024 Mon Jan 29 6:44 AM,Annoyed,By myself;Writing;Waking up;Checking social media ;Home,overcast clouds
128,2024 Sun Jan 28 9:00 AM,Confident,Back from run;Outside;By myself,overcast clouds
129,2024 Sun Jan 28 6:45 AM,Accomplished,Waking up;Pets;Walking;Outside;Writing,broken clouds
130,2024 Sat Jan 27 7:34 AM,Calm,Writing;Planning life;Pets;Home,few clouds
131,2024 Fri Jan 26 2:17 PM,Longing,Resting;By myself;Home,light rain
132,2024 Fri Jan 26 9:45 AM,Cheerful,Outside;Walking;After swimming;By myself,mist
133,2024 Thu Jan 25 7:24 PM,Accomplished,Networking;Co-workers;Work;Helping someone,clear sky
134,2024 Thu Jan 25 6:32 AM,Challenged,Home;Writing;Pets,scattered clouds
135,2024 Thu Jan 25 6:31 AM,Overwhelmed,Writing;Home;Pets,scattered clouds
136,2024 Wed Jan 24 9:56 AM,Thoughtful,After swimming;Home;By myself,overcast clouds
137,2024 Tue Jan 23 1:06 PM,Sad,By myself;Resting;Home,broken clouds
138,2024 Tue Jan 23 7:13 AM,Annoyed,Pets;Home;Writing,broken clouds
139,2024 Mon Jan 22 6:47 AM,Joyful,Learning ;Pets;Home,overcast clouds
140,2024 Sun Jan 21 8:03 AM,Chill,Writing;Pets;Home,overcast clouds
141,2024 Sat Jan 20 12:34 PM,Chill,Reading;Vacation home;Pets;Writing;Resting,light rain
142,2024 Fri Jan 19 8:30 AM,Relieved,Waking up;Metabolic chamber ;Strangers,broken clouds
143,2024 Fri Jan 19 6:50 AM,Frustrated,Metabolic chamber ;Waking up;By myself,broken clouds
144,2024 Thu Jan 18 5:05 PM,Fatigued,Resting;By myself;Metabolic chamber ,clear sky
145,2024 Thu Jan 18 6:39 AM,Insecure,By myself;Waking up;Metabolic chamber ,clear sky
146,2024 Wed Jan 17 6:07 PM,Excited,Home;By myself;Planning life,broken clouds
147,2024 Wed Jan 17 10:05 AM,Tense,Commuting;By myself;Driving,broken clouds
148,2024 Tue Jan 16 5:27 PM,Accomplished,By myself;Vacation home;Writing;Back from run,overcast clouds
149,2024 Tue Jan 16 5:25 PM,Thoughtful,By myself;Vacation home;Writing;Planning life,overcast clouds
150,2024 Mon Jan 15 7:19 PM,Accomplished,Resting;Vacation home;Pets,broken clouds
151,2024 Mon Jan 15 7:15 AM,Productive,Writing;By myself;Vacation home,overcast clouds
152,2024 Sun Jan 14 6:31 PM,Relaxed,Vacation home;Resting;By myself,overcast clouds
153,2024 Sun Jan 14 6:30 AM,Thoughtful,Vacation home;Writing;By myself;Waking up,few clouds
154,2024 Sat Jan 13 12:30 PM,Motivated,By myself;Cleaning;Home,few clouds
155,2024 Fri Jan 12 1:32 PM,Optimistic,By myself;Home;Planning life;Writing,broken clouds
156,2024 Thu Jan 11 6:33 PM,Excited,Networking;Co-workers;Work,broken clouds
157,2024 Wed Jan 10 3:30 PM,Joyful,Hanging out;Writing;Library;Friends;Outside,broken clouds
158,2024 Wed Jan 10 6:31 AM,Thoughtful,Planning life;Home;Pets;Writing,overcast clouds
159,2024 Tue Jan 9 2:21 PM,Accomplished,Co-workers;Work;Exams,overcast clouds
160,2024 Mon Jan 8 8:30 PM,Engaged,Family;Home;By myself;Planning life,overcast clouds
161,2024 Sun Jan 7 6:25 PM,Chill,By myself;Resting;Home,overcast clouds
162,2024 Sat Jan 6 3:50 PM,Productive,Writing;By myself;Helping someone;Home,broken clouds
163,2024 Fri Jan 5 6:17 PM,Chill,By myself;Watching shows;Home,broken clouds
164,2024 Thu Jan 4 6:54 PM,Fulfilled,Resting;Home;By myself,overcast clouds
165,2024 Wed Jan 3 8:29 AM,Accomplished,By myself;Back from run;Home;After teaching ,light snow
166,2024 Wed Jan 3 4:31 AM,Relaxed,Waking up;By myself;Work,light snow
167,2024 Tue Jan 2 6:30 PM,Tired,By myself;Home;Resting,light snow
168,2024 Mon Jan 1 7:08 PM,Lost,Home;Pets;Resting,light intensity shower rain
169,2024 Mon Jan 1 5:31 PM,Fatigued,Resting;Pets;Home,overcast clouds
170,2023 Sun Dec 31 4:30 PM,Excited,Hanging out;Friends;Outside,overcast clouds
171,2023 Sat Dec 30 7:49 PM,Pensive,By myself;Resting;Home,overcast clouds
172,2023 Sat Dec 30 4:43 PM,Balanced,Home;Pets;Resting,light rain
173,2023 Fri Dec 29 9:58 AM,Optimistic,Home;Planning life;By myself,light rain
174,2023 Thu Dec 28 4:55 PM,Disappointed,Strangers;Outside;Hanging out,light rain
175,2023 Wed Dec 27 8:35 AM,Longing,Home;Waking up;Pets,few clouds
176,2023 Tue Dec 26 6:30 PM,Chill,Watching shows;Home;Resting;By myself,few clouds
177,2023 Tue Dec 26 10:06 AM,Enthusiastic,Back from run;Home;Pets,broken clouds
178,2023 Mon Dec 25 6:10 PM,Insecure,Hanging out;Home;Family,clear sky
179,2023 Sun Dec 24 6:10 PM,Chill,At friends;Hanging out;Family,light rain
180,2023 Sat Dec 23 2:55 PM,Accomplished,Home;Eating;By myself,broken clouds
181,2023 Fri Dec 22 1:30 PM,Challenged,By myself;Hanging out;Outside,scattered clouds
182,2023 Thu Dec 21 7:28 AM,Optimistic,Planning life;Home;By myself,light rain
183,2023 Wed Dec 20 6:31 AM,Empty,Home;By myself;Writing,broken clouds
184,2023 Wed Dec 20 6:31 AM,Lost,Writing;Home;By myself,broken clouds
185,2023 Tue Dec 19 5:05 PM,Disengaged,By myself;Watching shows;Home;Pets;Resting,overcast clouds
186,2023 Mon Dec 18 4:44 PM,Grateful,By myself;Home;Resting,light rain
187,2023 Sun Dec 17 3:19 PM,Nostalgic,By myself;Outside;Walking,overcast clouds
188,2023 Sun Dec 17 3:14 PM,Tired,Home;By myself;Resting,overcast clouds
189,2023 Sat Dec 16 6:45 AM,Thoughtful,Walking;Pets;Outside,broken clouds
190,2023 Fri Dec 15 8:15 PM,Chill,Home;Resting;By myself,broken clouds
191,2023 Thu Dec 14 6:38 PM,Nostalgic,Resting;By myself;Home,overcast clouds
192,2023 Thu Dec 14 6:38 AM,Optimistic,By myself;Writing;Home,broken clouds
193,2023 Wed Dec 13 2:40 PM,Understood,Networking;Strangers;Bar ;Hanging out;Drinking ,broken clouds
194,2023 Tue Dec 12 2:23 PM,Appreciated,Co-workers;Networking;Work,overcast clouds
195,2023 Mon Dec 11 6:31 AM,Enthusiastic,Home;By myself;Writing;Learning ,light rain
196,2023 Sun Dec 10 9:42 PM,Fulfilled,Home;By myself;Resting,light intensity drizzle
197,2023 Sun Dec 10 3:38 PM,Optimistic,Outside;Pets;Walking,overcast clouds
198,2023 Sun Dec 10 3:37 PM,Compassionate,Walking;Outside;Pets,overcast clouds
199,2023 Sat Dec 9 5:25 PM,Curious,Commuting;Between places;Strangers,light intensity drizzle
200,2023 Fri Dec 8 2:17 PM,Chill,Resting;By myself;Home,overcast clouds
201,2023 Thu Dec 7 5:29 PM,Longing,Resting;Home;By myself,overcast clouds
202,2023 Thu Dec 7 6:31 AM,Tired,Pets;Writing;Home,overcast clouds
203,2023 Wed Dec 6 8:01 AM,Thoughtful,Home;Planning life;By myself,light snow
204,2023 Tue Dec 5 9:35 PM,Optimistic,,broken clouds
205,2023 Tue Dec 5 9:25 PM,Inspired,Outside;Learning ;Co-workers;Strangers,light snow
206,2023 Mon Dec 4 9:10 PM,Accomplished,Outside;After teaching ;Strangers,broken clouds
207,2023 Sun Dec 3 3:54 PM,Chill,Home;Watching shows;By myself,overcast clouds
208,2023 Sun Dec 3 9:25 AM,Empowered,Outside;Running;By myself,broken clouds
209,2023 Sun Dec 3 9:24 AM,Optimistic,Outside;Running;By myself,broken clouds
210,2023 Sat Dec 2 6:27 PM,Lonely,Home;Resting;Watching shows;By myself,broken clouds
211,2023 Fri Dec 1 1:43 PM,Optimistic,Home;Networking;Strangers,broken clouds
212,2023 Thu Nov 30 6:37 AM,Pensive,Home;Writing;Friends,shower snow
213,2023 Wed Nov 29 7:16 PM,Longing,Home;Resting;By myself,broken clouds
214,2023 Wed Nov 29 5:38 PM,Wistful,Outside;Walking;By myself,light snow
215,2023 Tue Nov 28 8:24 AM,Empowered,Outside;After teaching ;By myself,clear sky
216,2023 Tue Nov 28 6:32 AM,Chill,Outside;Walking;Pets,
217,2023 Mon Nov 27 8:41 PM,Proud,Teaching;Strangers,broken clouds
218,2023 Mon Nov 27 4:21 PM,Nervous,Home;Planning teaching;By myself,overcast clouds
219,2023 Sun Nov 26 3:32 PM,Happy,Outside;Hanging out;Family,broken clouds
220,2023 Sun Nov 26 7:08 AM,Excited,Teaching;Strangers,overcast clouds
221,2023 Sun Nov 26 6:35 AM,Nervous,Work;Teaching;Strangers,scattered clouds
222,2023 Sun Nov 26 6:34 AM,Calm,Outside;Walking;Pets,scattered clouds
223,2023 Sat Nov 25 5:19 PM,Lonely,Home;Watching shows;By myself,broken clouds
224,2023 Fri Nov 24 1:29 PM,Productive,Home;Planning teaching;By myself,broken clouds
225,2023 Thu Nov 23 7:35 AM,Happy,Home;Hanging out;Family,broken clouds
226,2023 Wed Nov 22 6:01 PM,Happy,Drinking ;Hanging out;Networking;Friends,overcast clouds
227,2023 Wed Nov 22 1:46 PM,Productive,Home;Planning teaching;By myself,overcast clouds
228,2023 Tue Nov 21 1:01 PM,Excited,Work;Networking;Friends,overcast clouds
229,2023 Tue Nov 21 12:42 PM,Accomplished,Work;Teaching;Co-workers;Students,broken clouds
230,2023 Mon Nov 20 7:25 PM,Discouraged,Work;Planning teaching;Students,overcast clouds
231,2023 Mon Nov 20 9:21 AM,Motivated,Home;Learning ;Planning life;Pets,overcast clouds
232,2023 Sun Nov 19 8:01 AM,Inspired,Home;Learning ;By myself,light rain
233,2023 Sat Nov 18 4:44 PM,Chill,At friends;Eating;Hanging out;Family,scattered clouds
234,2023 Fri Nov 17 3:00 PM,Annoyed,Work;Planning teaching;Co-workers,overcast clouds
235,2023 Fri Nov 17 2:15 PM,Joyful,Outside;Hanging out;Friends,overcast clouds
236,2023 Thu Nov 16 6:50 PM,Tired,Outside;Walking;Pets,overcast clouds
237,2023 Thu Nov 16 6:49 PM,Relieved,Outside;Walking;Pets,overcast clouds
238,2023 Thu Nov 16 6:31 AM,Anxious,Home;Waking up;By myself,moderate rain
239,2023 Wed Nov 15 6:28 PM,Trapped,Home;Watching shows;By myself,overcast clouds
240,2023 Wed Nov 15 6:35 AM,Anxious,Outside;Hanging out;Pets,broken clouds
241,2023 Tue Nov 14 7:20 PM,Tired,Home;Resting;By myself,broken clouds
242,2023 Tue Nov 14 6:07 PM,Lonely,Home;Watching shows;Pets,light intensity drizzle
243,2023 Tue Nov 14 6:34 AM,Challenged,Outside;Running;By myself,moderate rain
244,2023 Mon Nov 13 9:02 PM,Thoughtful,Home;Resting;By myself,light rain
245,2023 Mon Nov 13 6:31 AM,Motivated,Home;Writing;Pets,
246,2023 Sun Nov 12 8:45 PM,Motivated,Home;Writing;Pets,overcast clouds
247,2023 Sun Nov 12 8:44 PM,Productive,Home;Writing;Pets,overcast clouds
248,2023 Sat Nov 11 6:59 PM,Tired,Outside;Walking;Pets,overcast clouds
249,2023 Sat Nov 11 11:24 AM,Vulnerable,Home;Resting;By myself,broken clouds
250,2023 Sat Nov 11 11:23 AM,Longing,Home;Resting;By myself,broken clouds
251,2023 Sat Nov 11 7:11 AM,Peaceful,Outside;Walking;Pets,overcast clouds
252,2023 Fri Nov 10 7:06 AM,Motivated,Home;Writing;Pets,light rain
253,2023 Thu Nov 9 8:57 PM,Uneasy,Home;Resting;By myself,scattered clouds
254,2023 Thu Nov 9 6:31 AM,Peaceful,Outside;Walking;Pets,overcast clouds
255,2023 Wed Nov 8 6:30 AM,Optimistic,Home;Planning life;Writing;By myself,broken clouds
256,2023 Tue Nov 7 8:11 PM,Tired,Home;Resting;Pets,scattered clouds
257,2023 Tue Nov 7 9:41 AM,Optimistic,Work;Teaching;Students,broken clouds
258,2023 Tue Nov 7 6:31 AM,Anxious,Planning teaching,overcast clouds
259,2023 Mon Nov 6 7:06 PM,Tense,Home;Resting;By myself,broken clouds
260,2023 Mon Nov 6 1:30 PM,Productive;Anxious,Home;Planning teaching;By myself,broken clouds
261,2023 Mon Nov 6 6:35 AM,Excited,Home;Planning life;By myself,mist
262,2023 Sun Nov 5 3:56 PM,Nervous,Home;Watching shows;By myself,overcast clouds
263,2023 Sun Nov 5 9:16 AM,Proud;Productive,Home;Planning teaching;By myself,broken clouds
264,2023 Sat Nov 4 6:31 PM,Wistful;Pensive,Outside;Walking;Pets,overcast clouds
265,2023 Sat Nov 4 8:50 AM,Overwhelmed;Excited,Home;Reading;By myself,overcast clouds
266,2023 Fri Nov 3 10:13 AM,Relieved,Home;Writing;By myself,scattered clouds
267,2023 Thu Nov 2 6:11 PM,Wistful;Melancholic,Home;Watching shows;By myself,light rain
268,2023 Thu Nov 2 7:20 AM,Balanced;Enjoyment,Outside;Walking;Pets,overcast clouds
269,2023 Wed Nov 1 6:32 PM,Upbeat;Cheerful,Home;Hanging out;By myself,light rain
270,2023 Wed Nov 1 4:20 PM,Grateful,Home;Eating;By myself,overcast clouds
271,2023 Wed Nov 1 6:41 AM,At Ease,Outside;Walking;Pets,
272,2023 Wed Nov 1 6:33 AM,Relieved,Outside;Walking;By myself,
273,2023 Tue Oct 31 6:30 PM,Chill,Home;Resting;Pets,broken clouds
274,2023 Tue Oct 31 11:00 AM,Accomplished,Commuting;Between places;Strangers,light rain
275,2023 Tue Oct 31 8:09 AM,Alive,Commuting;Between places;Strangers,light rain
276,2023 Mon Oct 30 6:30 PM,Productive;Nervous,Home;Watching shows;By myself,scattered clouds
277,2023 Mon Oct 30 1:40 PM,Optimistic;Balanced,Home;Resting;By myself,few clouds
278,2023 Sun Oct 29 6:42 AM,Chill,Home;Waking up;Pets,light intensity drizzle
279,2023 Sat Oct 28 3:01 PM,Fomo;Frustrated,Home;Watching shows;Resting;Pets,overcast clouds
280,2023 Fri Oct 27 8:35 AM,Chill;Worried,Home;Waking up;Resting;By myself,broken clouds
281,2023 Thu Oct 26 4:38 PM,Grateful;Exhausted,Home;Reading;Resting;By myself,broken clouds
282,2023 Wed Oct 25 4:13 PM,Annoyed;Apathetic,Home;Resting;By myself,broken clouds
283,2023 Tue Oct 24 1:51 PM,Spent,Home;Resting;By myself,broken clouds
284,2023 Tue Oct 24 7:12 AM,Exhausted,Home;Waking up;By myself,broken clouds
285,2023 Mon Oct 23 5:41 PM,Worried;Melancholic,Home;Resting;By myself,overcast clouds
286,2023 Mon Oct 23 10:39 AM,Safe;Exhausted,Home;Resting;By myself,scattered clouds
287,2023 Sun Oct 22 1:31 PM,Pensive;Melancholic,Home;Listening to music;By myself,few clouds
288,2023 Sat Oct 21 1:32 PM,Exhausted;Empty,Home;Watching shows;By myself,broken clouds
289,2023 Fri Oct 20 6:45 PM,Fatigued,Home;Watching shows;By myself,overcast clouds
290,2023 Thu Oct 19 1:36 PM,Scared;Frustrated,Home;Resting;By myself,overcast clouds
291,2023 Thu Oct 19 6:44 AM,Exhausted,Home;Waking up;By myself,clear sky
292,2023 Wed Oct 18 6:40 PM,Frustrated;Fatigued,Home;Watching shows;By myself,overcast clouds
293,2023 Wed Oct 18 1:35 PM,Meh,Home;Watching shows;By myself,few clouds
294,2023 Wed Oct 18 9:02 AM,Worried;Fatigued,Home;Resting;By myself,broken clouds
295,2023 Tue Oct 17 6:40 PM,Exhausted,Home;Watching shows;By myself,scattered clouds
296,2023 Tue Oct 17 11:35 AM,Thankful,Home;Resting;By myself,scattered clouds
297,2023 Tue Oct 17 7:50 AM,Fatigued;Worried,Home;Waking up;By myself,scattered clouds
298,2023 Mon Oct 16 8:17 PM,Fatigued;Meh,Home;Watching shows;By myself,few clouds
299,2023 Mon Oct 16 3:25 PM,Apathetic;Wistful,Home;Resting;By myself,broken clouds
300,2023 Mon Oct 16 7:32 AM,Relieved;Fatigued,Home;Resting;By myself,scattered clouds
301,2023 Sun Oct 15 6:30 PM,Fatigued,Home;Resting;Pets;By myself,few clouds
302,2023 Sun Oct 15 2:56 PM,Worried;Exhausted,Home;Resting;By myself,broken clouds
303,2023 Sun Oct 15 8:08 AM,Exhausted,Resting;By myself,broken clouds
