Date,Unnamed: 0,Mood,Tags,Weather,Moods,EmotionCat,DateTime,Weekday,Time
2024-03-30,38,Disengaged,By myself;Resting;Home,few clouds,Disengaged,"Low Energy, Negative",2024-03-30 20:53:00,5,20:53:00
2024-03-30,39,Vulnerable,By myself;Home;Resting;Watching shows,few clouds,Vulnerable,"Low Energy, Negative",2024-03-30 19:03:00,5,19:03:00
2024-03-29,40,Excited,Drinking ;Bar ;Hanging out;Friends;Listening to music,light intensity drizzle,Excited,"High Energy, Positive",2024-03-29 16:53:00,4,16:53:00
2024-03-28,41,Motivated,By myself;Learning ;Home;Strangers,overcast clouds,Motivated,"High Energy, Positive",2024-03-28 07:48:00,3,07:48:00
2024-03-27,42,Balanced,By myself;Watching shows;Home,overcast clouds,Balanced,"Low Energy, Positive",2024-03-27 18:45:00,2,18:45:00
2024-03-26,43,Chill,Home;Learning ;By myself,overcast clouds,Chill,"Low Energy, Positive",2024-03-26 18:41:00,1,18:41:00
2024-03-25,44,Appreciated,Family;Home;Helping someone,overcast clouds,Appreciated,"High Energy, Positive",2024-03-25 15:29:00,0,15:29:00
2024-03-24,45,Optimistic,Running;Listening to music;By myself;Outside,overcast clouds,Optimistic,"High Energy, Positive",2024-03-24 11:08:00,6,11:08:00
2024-03-24,46,Lost,Waking up;By myself;Home,overcast clouds,Lost,"Low Energy, Negative",2024-03-24 06:05:00,6,06:05:00
2024-03-23,47,Insecure,Resting;By myself;Home,broken clouds,Insecure,"Low Energy, Negative",2024-03-23 10:55:00,5,10:55:00
2024-03-22,48,Apathetic,Watching shows;By myself;Home,broken clouds,Apathetic,"Low Energy, Negative",2024-03-22 16:21:00,4,16:21:00
2024-03-21,49,Relaxed,Home;Watching shows;By myself,broken clouds,Relaxed,"Low Energy, Positive",2024-03-21 18:18:00,3,18:18:00
2024-03-21,50,Disappointed,Home;Learning ;Co-workers,broken clouds,Disappointed,"Low Energy, Negative",2024-03-21 13:05:00,3,13:05:00
2024-03-21,51,Overwhelmed,Home;Waking up;By myself,broken clouds,Overwhelmed,"High Energy, Negative",2024-03-21 07:15:00,3,07:15:00
2024-03-20,52,Disengaged,Watching shows;Home;By myself,broken clouds,Disengaged,"Low Energy, Negative",2024-03-20 18:30:00,2,18:30:00
2024-03-19,53,Chill,Home;By myself;Watching shows;Resting,overcast clouds,Chill,"Low Energy, Positive",2024-03-19 16:25:00,1,16:25:00
2024-03-18,54,Balanced,Planning life;Co-workers;Work;Hanging out,broken clouds,Balanced,"Low Energy, Positive",2024-03-18 13:32:00,0,13:32:00
2024-03-17,55,Balanced,By myself;Home;Resting,few clouds,Balanced,"Low Energy, Positive",2024-03-17 13:31:00,6,13:31:00
2024-03-16,56,Relaxed,Home;Watching shows;By myself,few clouds,Relaxed,"Low Energy, Positive",2024-03-16 15:30:00,5,15:30:00
2024-03-15,57,Thoughtful,Hanging out;Outside;Bar ;By myself,light rain,Thoughtful,"Low Energy, Positive",2024-03-15 14:57:00,4,14:57:00
2024-03-14,58,Exhilarated,By myself;Planning life;Learning ;Home,mist,Exhilarated,"High Energy, Positive",2024-03-14 08:59:00,3,08:59:00
2024-03-13,59,Compassionate,Helping someone;At friends;Family,overcast clouds,Compassionate,"Low Energy, Positive",2024-03-13 15:45:00,2,15:45:00
2024-03-12,60,Annoyed,Planning life;By myself;Home,fog,Annoyed,"High Energy, Negative",2024-03-12 23:09:00,1,23:09:00
2024-03-11,61,Motivated,Learning ;Home;By myself,fog,Motivated,"High Energy, Positive",2024-03-11 12:10:00,0,12:10:00
2024-03-10,62,Chill,Home;Resting;Pets,overcast clouds,Chill,"Low Energy, Positive",2024-03-10 12:00:00,6,12:00:00
2024-03-09,63,Energized,Home;Resting;By myself,overcast clouds,Energized,"High Energy, Positive",2024-03-09 13:30:00,5,13:30:00
2024-03-09,64,Fatigued,Home;Pets;By myself;Spacied out;Waking up,overcast clouds,Fatigued,"Low Energy, Negative",2024-03-09 08:05:00,5,08:05:00
2024-03-08,65,Optimistic,After swimming;Outside;By myself,fog,Optimistic,"High Energy, Positive",2024-03-08 09:14:00,4,09:14:00
2024-03-08,66,Appreciated,Helping someone;Outside;Family,fog,Appreciated,"High Energy, Positive",2024-03-08 09:11:00,4,09:11:00
2024-03-07,67,Compassionate,At friends;Helping someone;Family,clear sky,Compassionate,"Low Energy, Positive",2024-03-07 19:42:00,3,19:42:00
2024-03-06,68,Curious,Networking;Strangers;Bar ,overcast clouds,Curious,"High Energy, Positive",2024-03-06 17:08:00,2,17:08:00
2024-03-06,69,Disengaged,By myself;Home;Resting,overcast clouds,Disengaged,"Low Energy, Negative",2024-03-06 10:54:00,2,10:54:00
2024-03-05,70,Thoughtful,Home;By myself;Planning life;Watching shows,light rain,Thoughtful,"Low Energy, Positive",2024-03-05 18:18:00,1,18:18:00
2024-03-05,71,Alive,Outside;By myself;Running;Listening to music,broken clouds,Alive,"High Energy, Positive",2024-03-05 07:14:00,1,07:14:00
2024-03-05,72,Engaged,Writing;Home;Learning ;By myself,broken clouds,Engaged,"High Energy, Positive",2024-03-05 06:38:00,1,06:38:00
2024-03-04,73,Upbeat,Friends;Hanging out;After swimming;At friends,clear sky,Upbeat,"High Energy, Positive",2024-03-04 12:22:00,0,12:22:00
2024-03-03,74,Longing,Home;By myself;Resting,few clouds,Longing,"Low Energy, Negative",2024-03-03 16:43:00,6,16:43:00
2024-03-03,75,Meh,By myself;Home;Resting,few clouds,Meh,"Low Energy, Negative",2024-03-03 16:41:00,6,16:41:00
2024-03-02,76,Thoughtful,Outside;By myself;Walking,fog,Thoughtful,"Low Energy, Positive",2024-03-02 13:33:00,5,13:33:00
2024-03-01,77,Thoughtful,By myself;Resting;Home,fog,Thoughtful,"Low Energy, Positive",2024-03-01 15:59:00,4,15:59:00
2024-03-01,78,Sad,Waking up;Home;Pets,overcast clouds,Sad,"Low Energy, Negative",2024-03-01 05:52:00,4,05:52:00
2024-02-29,79,Successful,At friends;Writing;Friends;Networking,overcast clouds,Successful,"High Energy, Positive",2024-02-29 16:58:00,3,16:58:00
2024-02-29,80,Engaged,By myself;Home;Writing,overcast clouds,Engaged,"High Energy, Positive",2024-02-29 14:47:00,3,14:47:00
2024-02-28,81,Tired,Home;Planning life;By myself,overcast clouds,Tired,"Low Energy, Negative",2024-02-28 06:51:00,2,06:51:00
2024-02-27,82,Enthusiastic,Back from run;By myself;Home,mist,Enthusiastic,"High Energy, Positive",2024-02-27 07:30:00,1,07:30:00
2024-02-26,83,Accomplished,Co-workers;Home;Learning ;By myself,overcast clouds,Accomplished,"High Energy, Positive",2024-02-26 15:21:00,0,15:21:00
2024-02-26,84,Curious,Home;By myself;Planning life,mist,Curious,"High Energy, Positive",2024-02-26 06:15:00,0,06:15:00
2024-02-25,85,Balanced,Pets;Outside;Walking,broken clouds,Balanced,"Low Energy, Positive",2024-02-25 07:24:00,6,07:24:00
2024-02-24,86,Lonely,By myself;Watching shows;Home,scattered clouds,Lonely,"Low Energy, Negative",2024-02-24 18:32:00,5,18:32:00
2024-02-24,87,Comfortable,Writing;Pets;Waking up;Home,overcast clouds,Comfortable,"Low Energy, Positive",2024-02-24 06:28:00,5,06:28:00
2024-02-23,88,Joyful,Drinking ;Co-workers;Hanging out;Bar ,overcast clouds,Joyful,"High Energy, Positive",2024-02-23 16:25:00,4,16:25:00
2024-02-23,89,Inspired,Outside;Networking;Strangers;Hanging out,overcast clouds,Inspired,"High Energy, Positive",2024-02-23 13:30:00,4,13:30:00
2024-02-22,90,Meh,Home;Resting;By myself,overcast clouds,Meh,"Low Energy, Negative",2024-02-22 18:42:00,3,18:42:00
2024-02-21,91,Curious,Strangers;School;Networking;Learning ,overcast clouds,Curious,"High Energy, Positive",2024-02-21 18:08:00,2,18:08:00
2024-02-21,92,Enthusiastic,Work;Planning teaching;Co-workers,overcast clouds,Enthusiastic,"High Energy, Positive",2024-02-21 16:44:00,2,16:44:00
2024-02-20,93,Determined,Walking;Pets;Outside,broken clouds,Determined,"High Energy, Positive",2024-02-20 06:10:00,1,06:10:00
2024-02-19,94,Tired,Pets;Resting;Home,overcast clouds,Tired,"Low Energy, Negative",2024-02-19 20:31:00,0,20:31:00
2024-02-19,95,Content,Library;Hanging out;Walking;Outside;By myself;Strangers,overcast clouds,Content,"Low Energy, Positive",2024-02-19 12:15:00,0,12:15:00
2024-02-18,96,At Ease,By myself;Resting;Home,light rain,At Ease,"Low Energy, Positive",2024-02-18 21:33:00,6,21:33:00
2024-02-18,97,Determined,Walking;By myself;Waking up;Outside;Pets,broken clouds,Determined,"High Energy, Positive",2024-02-18 06:39:00,6,06:39:00
2024-02-17,98,Sad,Outside;Pets;Walking;By myself;Home;Resting;Watching shows,clear sky,Sad,"Low Energy, Negative",2024-02-17 16:30:00,5,16:30:00
2024-02-17,99,Helpless,Home;By myself;Resting,clear sky,Helpless,"Low Energy, Negative",2024-02-17 15:30:00,5,15:30:00
2024-02-17,100,Nostalgic,Waking up;Pets;Walking;Outside,light intensity drizzle,Nostalgic,"Low Energy, Negative",2024-02-17 06:31:00,5,06:31:00
2024-02-16,101,Joyful,Work;Hanging out;Co-workers,light intensity drizzle,Joyful,"High Energy, Positive",2024-02-16 15:35:00,4,15:35:00
2024-02-15,102,Chill,Resting;By myself;Home,fog,Chill,"Low Energy, Positive",2024-02-15 18:49:00,3,18:49:00
2024-02-14,103,Tranquil,Home;Reading;By myself,overcast clouds,Tranquil,"Low Energy, Positive",2024-02-14 15:15:00,2,15:15:00
2024-02-14,104,Melancholic,Home;By myself;Between places,mist,Melancholic,"Low Energy, Negative",2024-02-14 07:55:00,2,07:55:00
2024-02-14,105,Lost,By myself;Home;Waking up,mist,Lost,"Low Energy, Negative",2024-02-14 07:37:00,2,07:37:00
2024-02-13,106,Pensive,By myself;Resting;Home,mist,Pensive,"Low Energy, Positive",2024-02-13 15:35:00,1,15:35:00
2024-02-12,107,At Ease,Outside;After swimming;By myself;Walking,light rain,At Ease,"Low Energy, Positive",2024-02-12 09:35:00,0,09:35:00
2024-02-11,108,Thoughtful,Outside;By myself;Running,overcast clouds,Thoughtful,"Low Energy, Positive",2024-02-11 10:05:00,6,10:05:00
2024-02-11,109,Motivated,Home;Planning life;By myself,overcast clouds,Motivated,"High Energy, Positive",2024-02-11 08:50:00,6,08:50:00
2024-02-11,110,At Ease,Home;By myself;Planning life,overcast clouds,At Ease,"Low Energy, Positive",2024-02-11 08:49:00,6,08:49:00
2024-02-10,111,Worried,By myself;Home;Resting,overcast clouds,Worried,"High Energy, Negative",2024-02-10 19:48:00,5,19:48:00
2024-02-10,112,Accomplished,Home;Resting;By myself,overcast clouds,Accomplished,"High Energy, Positive",2024-02-10 19:47:00,5,19:47:00
2024-02-10,113,Determined,Home;By myself;Waking up,overcast clouds,Determined,"High Energy, Positive",2024-02-10 09:04:00,5,09:04:00
2024-02-09,114,Pensive,Writing;By myself;Home,broken clouds,Pensive,"Low Energy, Positive",2024-02-09 07:52:00,4,07:52:00
2024-02-08,115,Tired,Home;Resting;By myself,broken clouds,Tired,"Low Energy, Negative",2024-02-08 18:00:00,3,18:00:00
2024-02-07,116,Lonely,By myself;Home;Resting,clear sky,Lonely,"Low Energy, Negative",2024-02-07 19:34:00,2,19:34:00
2024-02-06,117,Productive,Home;Learning ;Pets;By myself,clear sky,Productive,"High Energy, Positive",2024-02-06 11:35:00,1,11:35:00
2024-02-05,118,Accomplished,School;Back from run;Strangers,overcast clouds,Accomplished,"High Energy, Positive",2024-02-05 07:06:00,0,07:06:00
2024-02-04,119,Annoyed,Walking;By myself;Outside;Checking social media ,scattered clouds,Annoyed,"High Energy, Negative",2024-02-04 08:01:00,6,08:01:00
2024-02-03,120,Productive,By myself;Writing;Home,few clouds,Productive,"High Energy, Positive",2024-02-03 13:05:00,5,13:05:00
2024-02-02,121,At Ease,Outside;Walking;Pets,broken clouds,At Ease,"Low Energy, Positive",2024-02-02 06:32:00,4,06:32:00
2024-02-01,122,Empowered,Home;By myself;Listening to music;Running,overcast clouds,Empowered,"High Energy, Positive",2024-02-01 08:18:00,3,08:18:00
2024-01-31,123,Meh,Home;By myself;Writing;Resting,broken clouds,Meh,"Low Energy, Negative",2024-01-31 13:55:00,2,13:55:00
2024-01-31,124,Wistful,Home;Pets;Planning life,broken clouds,Wistful,"Low Energy, Negative",2024-01-31 06:31:00,2,06:31:00
2024-01-30,125,Excited,Pets;Outside;Walking,fog,Excited,"High Energy, Positive",2024-01-30 05:56:00,1,05:56:00
2024-01-29,126,Accomplished,Networking;Co-workers;Work,overcast clouds,Accomplished,"High Energy, Positive",2024-01-29 16:14:00,0,16:14:00
2024-01-29,127,Annoyed,By myself;Writing;Waking up;Checking social media ;Home,overcast clouds,Annoyed,"High Energy, Negative",2024-01-29 06:44:00,0,06:44:00
2024-01-28,128,Confident,Back from run;Outside;By myself,overcast clouds,Confident,"High Energy, Positive",2024-01-28 09:00:00,6,09:00:00
2024-01-28,129,Accomplished,Waking up;Pets;Walking;Outside;Writing,broken clouds,Accomplished,"High Energy, Positive",2024-01-28 06:45:00,6,06:45:00
2024-01-27,130,Calm,Writing;Planning life;Pets;Home,few clouds,Calm,"Low Energy, Positive",2024-01-27 07:34:00,5,07:34:00
2024-01-26,131,Longing,Resting;By myself;Home,light rain,Longing,"Low Energy, Negative",2024-01-26 14:17:00,4,14:17:00
2024-01-26,132,Cheerful,Outside;Walking;After swimming;By myself,mist,Cheerful,"High Energy, Positive",2024-01-26 09:45:00,4,09:45:00
2024-01-25,133,Accomplished,Networking;Co-workers;Work;Helping someone,clear sky,Accomplished,"High Energy, Positive",2024-01-25 19:24:00,3,19:24:00
2024-01-25,134,Challenged,Home;Writing;Pets,scattered clouds,Challenged,"High Energy, Negative",2024-01-25 06:32:00,3,06:32:00
2024-01-25,135,Overwhelmed,Writing;Home;Pets,scattered clouds,Overwhelmed,"High Energy, Negative",2024-01-25 06:31:00,3,06:31:00
2024-01-24,136,Thoughtful,After swimming;Home;By myself,overcast clouds,Thoughtful,"Low Energy, Positive",2024-01-24 09:56:00,2,09:56:00
2024-01-23,137,Sad,By myself;Resting;Home,broken clouds,Sad,"Low Energy, Negative",2024-01-23 13:06:00,1,13:06:00
2024-01-23,138,Annoyed,Pets;Home;Writing,broken clouds,Annoyed,"High Energy, Negative",2024-01-23 07:13:00,1,07:13:00
2024-01-22,139,Joyful,Learning ;Pets;Home,overcast clouds,Joyful,"High Energy, Positive",2024-01-22 06:47:00,0,06:47:00
2024-01-21,140,Chill,Writing;Pets;Home,overcast clouds,Chill,"Low Energy, Positive",2024-01-21 08:03:00,6,08:03:00
2024-01-20,141,Chill,Reading;Vacation home;Pets;Writing;Resting,light rain,Chill,"Low Energy, Positive",2024-01-20 12:34:00,5,12:34:00
2024-01-19,142,Relieved,Waking up;Metabolic chamber ;Strangers,broken clouds,Relieved,"Low Energy, Positive",2024-01-19 08:30:00,4,08:30:00
2024-01-19,143,Frustrated,Metabolic chamber ;Waking up;By myself,broken clouds,Frustrated,"High Energy, Negative",2024-01-19 06:50:00,4,06:50:00
2024-01-18,144,Fatigued,Resting;By myself;Metabolic chamber ,clear sky,Fatigued,"Low Energy, Negative",2024-01-18 17:05:00,3,17:05:00
2024-01-18,145,Insecure,By myself;Waking up;Metabolic chamber ,clear sky,Insecure,"Low Energy, Negative",2024-01-18 06:39:00,3,06:39:00
2024-01-17,146,Excited,Home;By myself;Planning life,broken clouds,Excited,"High Energy, Positive",2024-01-17 18:07:00,2,18:07:00
2024-01-17,147,Tense,Commuting;By myself;Driving,broken clouds,Tense,"High Energy, Negative",2024-01-17 10:05:00,2,10:05:00
2024-01-16,148,Accomplished,By myself;Vacation home;Writing;Back from run,overcast clouds,Accomplished,"High Energy, Positive",2024-01-16 17:27:00,1,17:27:00
2024-01-16,149,Thoughtful,By myself;Vacation home;Writing;Planning life,overcast clouds,Thoughtful,"Low Energy, Positive",2024-01-16 17:25:00,1,17:25:00
2024-01-15,150,Accomplished,Resting;Vacation home;Pets,broken clouds,Accomplished,"High Energy, Positive",2024-01-15 19:19:00,0,19:19:00
2024-01-15,151,Productive,Writing;By myself;Vacation home,overcast clouds,Productive,"High Energy, Positive",2024-01-15 07:15:00,0,07:15:00
2024-01-14,152,Relaxed,Vacation home;Resting;By myself,overcast clouds,Relaxed,"Low Energy, Positive",2024-01-14 18:31:00,6,18:31:00
2024-01-14,153,Thoughtful,Vacation home;Writing;By myself;Waking up,few clouds,Thoughtful,"Low Energy, Positive",2024-01-14 06:30:00,6,06:30:00
2024-01-13,154,Motivated,By myself;Cleaning;Home,few clouds,Motivated,"High Energy, Positive",2024-01-13 12:30:00,5,12:30:00
2024-01-12,155,Optimistic,By myself;Home;Planning life;Writing,broken clouds,Optimistic,"High Energy, Positive",2024-01-12 13:32:00,4,13:32:00
2024-01-11,156,Excited,Networking;Co-workers;Work,broken clouds,Excited,"High Energy, Positive",2024-01-11 18:33:00,3,18:33:00
2024-01-10,157,Joyful,Hanging out;Writing;Library;Friends;Outside,broken clouds,Joyful,"High Energy, Positive",2024-01-10 15:30:00,2,15:30:00
2024-01-10,158,Thoughtful,Planning life;Home;Pets;Writing,overcast clouds,Thoughtful,"Low Energy, Positive",2024-01-10 06:31:00,2,06:31:00
2024-01-09,159,Accomplished,Co-workers;Work;Exams,overcast clouds,Accomplished,"High Energy, Positive",2024-01-09 14:21:00,1,14:21:00
2024-01-08,160,Engaged,Family;Home;By myself;Planning life,overcast clouds,Engaged,"High Energy, Positive",2024-01-08 20:30:00,0,20:30:00
2024-01-07,161,Chill,By myself;Resting;Home,overcast clouds,Chill,"Low Energy, Positive",2024-01-07 18:25:00,6,18:25:00
2024-01-06,162,Productive,Writing;By myself;Helping someone;Home,broken clouds,Productive,"High Energy, Positive",2024-01-06 15:50:00,5,15:50:00
2024-01-05,163,Chill,By myself;Watching shows;Home,broken clouds,Chill,"Low Energy, Positive",2024-01-05 18:17:00,4,18:17:00
2024-01-04,164,Fulfilled,Resting;Home;By myself,overcast clouds,Fulfilled,"High Energy, Positive",2024-01-04 18:54:00,3,18:54:00
2024-01-03,165,Accomplished,By myself;Back from run;Home;After teaching ,light snow,Accomplished,"High Energy, Positive",2024-01-03 08:29:00,2,08:29:00
2024-01-03,166,Relaxed,Waking up;By myself;Work,light snow,Relaxed,"Low Energy, Positive",2024-01-03 04:31:00,2,04:31:00
2024-01-02,167,Tired,By myself;Home;Resting,light snow,Tired,"Low Energy, Negative",2024-01-02 18:30:00,1,18:30:00
2024-01-01,168,Lost,Home;Pets;Resting,light intensity shower rain,Lost,"Low Energy, Negative",2024-01-01 19:08:00,0,19:08:00
2024-01-01,169,Fatigued,Resting;Pets;Home,overcast clouds,Fatigued,"Low Energy, Negative",2024-01-01 17:31:00,0,17:31:00
2023-12-31,170,Excited,Hanging out;Friends;Outside,overcast clouds,Excited,"High Energy, Positive",2023-12-31 16:30:00,6,16:30:00
2023-12-30,171,Pensive,By myself;Resting;Home,overcast clouds,Pensive,"Low Energy, Positive",2023-12-30 19:49:00,5,19:49:00
2023-12-30,172,Balanced,Home;Pets;Resting,light rain,Balanced,"Low Energy, Positive",2023-12-30 16:43:00,5,16:43:00
2023-12-29,173,Optimistic,Home;Planning life;By myself,light rain,Optimistic,"High Energy, Positive",2023-12-29 09:58:00,4,09:58:00
2023-12-28,174,Disappointed,Strangers;Outside;Hanging out,light rain,Disappointed,"Low Energy, Negative",2023-12-28 16:55:00,3,16:55:00
2023-12-27,175,Longing,Home;Waking up;Pets,few clouds,Longing,"Low Energy, Negative",2023-12-27 08:35:00,2,08:35:00
2023-12-26,176,Chill,Watching shows;Home;Resting;By myself,few clouds,Chill,"Low Energy, Positive",2023-12-26 18:30:00,1,18:30:00
2023-12-26,177,Enthusiastic,Back from run;Home;Pets,broken clouds,Enthusiastic,"High Energy, Positive",2023-12-26 10:06:00,1,10:06:00
2023-12-25,178,Insecure,Hanging out;Home;Family,clear sky,Insecure,"Low Energy, Negative",2023-12-25 18:10:00,0,18:10:00
2023-12-24,179,Chill,At friends;Hanging out;Family,light rain,Chill,"Low Energy, Positive",2023-12-24 18:10:00,6,18:10:00
2023-12-23,180,Accomplished,Home;Eating;By myself,broken clouds,Accomplished,"High Energy, Positive",2023-12-23 14:55:00,5,14:55:00
2023-12-22,181,Challenged,By myself;Hanging out;Outside,scattered clouds,Challenged,"High Energy, Negative",2023-12-22 13:30:00,4,13:30:00
2023-12-21,182,Optimistic,Planning life;Home;By myself,light rain,Optimistic,"High Energy, Positive",2023-12-21 07:28:00,3,07:28:00
2023-12-20,183,Empty,Home;By myself;Writing,broken clouds,Empty,"Low Energy, Negative",2023-12-20 06:31:00,2,06:31:00
2023-12-20,184,Lost,Writing;Home;By myself,broken clouds,Lost,"Low Energy, Negative",2023-12-20 06:31:00,2,06:31:00
2023-12-19,185,Disengaged,By myself;Watching shows;Home;Pets;Resting,overcast clouds,Disengaged,"Low Energy, Negative",2023-12-19 17:05:00,1,17:05:00
2023-12-18,186,Grateful,By myself;Home;Resting,light rain,Grateful,"Low Energy, Positive",2023-12-18 16:44:00,0,16:44:00
2023-12-17,187,Nostalgic,By myself;Outside;Walking,overcast clouds,Nostalgic,"Low Energy, Negative",2023-12-17 15:19:00,6,15:19:00
2023-12-17,188,Tired,Home;By myself;Resting,overcast clouds,Tired,"Low Energy, Negative",2023-12-17 15:14:00,6,15:14:00
2023-12-16,189,Thoughtful,Walking;Pets;Outside,broken clouds,Thoughtful,"Low Energy, Positive",2023-12-16 06:45:00,5,06:45:00
2023-12-15,190,Chill,Home;Resting;By myself,broken clouds,Chill,"Low Energy, Positive",2023-12-15 20:15:00,4,20:15:00
2023-12-14,191,Nostalgic,Resting;By myself;Home,overcast clouds,Nostalgic,"Low Energy, Negative",2023-12-14 18:38:00,3,18:38:00
2023-12-14,192,Optimistic,By myself;Writing;Home,broken clouds,Optimistic,"High Energy, Positive",2023-12-14 06:38:00,3,06:38:00
2023-12-13,193,Understood,Networking;Strangers;Bar ;Hanging out;Drinking ,broken clouds,Understood,"High Energy, Positive",2023-12-13 14:40:00,2,14:40:00
2023-12-12,194,Appreciated,Co-workers;Networking;Work,overcast clouds,Appreciated,"High Energy, Positive",2023-12-12 14:23:00,1,14:23:00
2023-12-11,195,Enthusiastic,Home;By myself;Writing;Learning ,light rain,Enthusiastic,"High Energy, Positive",2023-12-11 06:31:00,0,06:31:00
